Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Vracar,Beograd Mostar,Kopaonik,Kamenicki Vis EMEP,Bor Institut RIM,Novi Sad Liman,Uzice,Beograd Panc.most,Kosjeric,Kikinda
2012-01-01,44.85,35.05,8.43,13.5,68.65,72.25,25.41,,3.4,,54.4,16.8625
2012-01-02,28.08,22.33,8.43,7.4,71.68,74.35,12.15,,3.4,,54.3,25.22
2012-01-03,16.13,20.75,8.45,3.4,81.45,81.2,15.56,,3.4,,30.3,49.30625
2012-01-04,13.25,19.78,8.43,3.93,81.28,77.68,16.58,,3.4,56.8,24.4,44.9525
2012-01-05,29.0,31.48,8.45,6.13,70.13,72.13,36.14,,14.8,53.0,35.2,43.04
2012-01-06,32.53,44.63,8.4,19.95,71.38,69.15,35.74,,18.03,52.4,61.0,30.8475
2012-01-07,34.58,40.23,8.43,19.15,59.78,57.18,36.63,,8.78,52.4,55.4,26.5
2012-01-08,27.23,23.48,14.25,3.85,65.3,58.65,28.21,,7.73,52.0,44.9,28.4325
2012-01-09,19.6,24.73,17.63,7.68,58.63,46.5,32.34,,5.58,48.4,48.6,28.2075
2012-01-10,24.9,18.0,11.85,4.83,59.85,46.18,33.27,,5.68,47.2,41.7,18.155
2012-01-11,18.0,21.73,18.73,8.65,57.75,39.5,31.33,,10.18,47.1,45.4,17.36
2012-01-12,27.3,24.35,19.18,6.63,61.33,48.35,24.58,,3.4,45.7,33.4,19.8675
2012-01-13,33.7,13.45,16.23,3.4,86.03,64.0,21.91,,5.7,43.9,30.2,29.89875
2012-01-14,38.93,44.43,29.93,14.55,72.45,64.9,41.92,,21.73,42.3,59.5,32.7025
2012-01-15,39.25,47.63,36.13,21.05,69.33,63.78,41.31,,22.7,42.3,66.6,23.36375
2012-01-16,36.0,37.33,31.25,20.13,66.58,59.1,37.1,,23.43,42.2,64.7,17.71375
2012-01-17,34.8,31.05,24.88,9.18,72.35,65.83,30.01,,13.43,42.0,68.2,29.495
2012-01-18,27.3,26.0,17.28,6.95,67.4,61.83,24.56,,40.68,40.9,54.3,9.52
2012-01-19,35.4,20.05,30.13,6.58,81.95,72.28,18.39,,50.4,40.7,52.2,10.135
2012-01-20,34.78,30.58,20.15,8.03,81.98,71.4,31.64,,0.0,40.7,60.7,14.1575
2012-01-21,41.7,45.98,31.08,15.73,77.1,66.9,37.86,,0.0,40.7,70.1,14.51125
2012-01-22,44.58,43.18,37.98,16.83,80.85,77.8,31.9,,5.4,40.3,35.3,21.9625
2012-01-23,40.2,43.93,38.95,15.6,84.65,78.08,28.41,,3.4,39.9,28.3,21.8825
2012-01-24,30.05,30.35,25.9,8.53,84.3,79.03,17.9,,6.43,39.8,43.6,11.95
2012-01-25,26.55,34.48,25.28,15.0,56.58,55.93,28.46,,10.7,39.8,49.5,16.94125
2012-01-26,29.9,35.93,30.7,20.33,52.93,78.95,35.69,,12.98,39.7,51.6,25.21875
2012-01-27,46.25,31.25,27.23,7.45,76.68,60.18,37.77,,22.33,39.5,66.0,48.04
2012-01-28,65.05,61.35,65.5,32.9,83.4,85.93,55.95,,36.05,39.1,63.0,48.57125
2012-01-29,66.85,77.88,78.0,51.9,84.18,86.35,63.03,,39.03,39.1,84.3,49.16
2012-01-30,70.58,67.05,72.5,38.1,87.38,102.33,51.05,,34.43,38.9,92.6,47.88
2012-01-31,63.5,68.33,65.15,39.58,89.53,96.9,26.65,,30.73,38.6,81.2,43.93625
2012-02-01,63.35,68.18,73.65,39.35,94.8,94.25,44.55,,47.25,38.5,82.8,17.93625
2012-02-02,63.38,71.33,73.3,52.5,88.58,85.5,52.52,,34.75,37.9,83.4,17.39875
2012-02-03,44.58,45.7,52.8,27.45,82.33,77.48,46.43,,30.28,37.9,77.1,22.57875
2012-02-04,44.98,58.33,0.0,19.35,82.8,77.65,34.24,,33.55,37.3,70.7,27.0
2012-02-05,60.45,78.98,0.0,45.93,89.65,71.5,35.44,,35.58,37.0,77.2,26.56
2012-02-06,63.83,79.18,47.93,52.65,87.4,80.65,40.82,,39.95,36.7,89.9,30.88
2012-02-07,46.08,56.45,48.78,24.85,79.85,69.5,42.64,,39.08,36.3,87.2,26.53
2012-02-08,55.8,62.9,62.43,34.33,87.0,,44.6,,36.3,36.3,80.6,26.4175
2012-02-09,52.18,81.23,56.88,,85.73,,29.25,,42.68,36.3,80.0,24.3275
2012-02-10,66.6,73.13,75.08,,89.08,,57.62,,37.2,35.7,98.6,33.46125
2012-02-11,66.33,75.33,79.68,,90.65,,63.98,,34.0,35.6,97.3,32.6
2012-02-12,61.53,67.85,74.95,,86.25,,56.03,,47.65,35.5,89.8,30.94
2012-02-13,68.48,83.28,65.45,,92.28,,44.43,,32.9,35.5,94.0,30.10625
2012-02-14,80.25,87.03,71.28,,101.83,,48.81,,52.93,35.5,95.8,34.21
2012-02-15,67.55,62.03,72.08,,105.65,,41.32,,35.0,35.5,102.6,39.26
2012-02-16,60.18,83.05,60.6,,103.3,,51.95,,25.33,35.4,85.4,32.33375
2012-02-17,65.18,74.28,56.5,,85.8,,,,11.75,35.4,83.9,25.885
2012-02-18,53.33,69.2,42.43,,83.88,,,,21.83,35.0,79.1,25.24
2012-02-19,61.55,50.2,67.28,,103.08,,,,8.93,35.0,84.1,30.15
2012-02-20,44.23,61.5,54.3,,105.53,,41.43,,10.2,34.9,88.2,26.9575
2012-02-21,54.13,38.48,34.8,,99.98,,34.36,,6.9,34.7,74.4,23.82375
2012-02-22,51.63,75.6,36.98,,103.13,,51.71,,18.03,34.6,87.8,32.24
2012-02-23,59.0,60.78,65.73,,102.88,111.48,30.4,,14.4,34.6,97.5,30.0575
2012-02-24,53.5,43.18,42.05,,95.05,111.85,37.15,,7.73,34.5,49.7,44.04875
2012-02-25,47.48,58.0,44.55,9.57,83.23,92.43,38.84,,9.03,34.3,53.9,36.9475
2012-02-26,43.88,59.25,41.48,17.33,86.98,91.45,41.37,,28.18,34.0,54.5,26.76625
2012-02-27,50.33,67.08,55.73,34.83,85.75,87.63,45.57,,26.65,33.4,83.9,24.08375
2012-02-28,54.68,65.28,57.68,30.38,90.48,91.28,47.42,,14.58,33.3,81.8,27.64125
2012-02-29,43.53,56.98,48.03,20.8,88.35,87.35,37.1,,17.55,33.1,54.7,21.5875
2012-03-01,50.03,70.23,62.55,34.2,92.03,94.48,43.31,,6.85,33.1,84.8,47.6775
2012-03-02,34.53,44.3,37.03,11.08,89.83,90.6,34.62,,23.23,33.0,67.3,19.46428571
2012-03-03,56.4,70.78,63.98,40.14,100.3,88.5,36.73,,32.05,32.5,78.5,26.9575
2012-03-04,65.05,78.15,73.73,50.65,107.25,103.55,47.73,,36.1,32.4,77.8,29.44875
2012-03-05,66.65,73.18,69.45,46.58,109.9,106.33,38.77,,44.4,32.4,103.7,31.87
2012-03-06,62.55,75.0,62.58,44.48,107.88,109.4,36.36,,43.03,32.4,105.4,29.88
2012-03-07,57.48,67.68,64.63,46.43,103.08,99.95,43.74,,39.38,32.2,94.0,41.2875
2012-03-08,60.73,69.68,73.98,41.03,109.55,91.33,35.41,,12.95,32.2,92.3,31.175
2012-03-09,47.45,57.0,41.5,18.8,104.08,105.53,22.55,,31.65,32.2,41.6,30.80125
2012-03-10,75.65,85.6,85.5,58.28,88.3,103.73,34.03,,49.2,32.0,95.6,32.1075
2012-03-11,56.75,68.15,55.38,24.38,110.28,110.38,30.1,,31.93,31.9,101.4,25.8
2012-03-12,54.78,70.43,63.53,34.85,91.35,92.15,40.38,,28.63,31.8,87.7,39.41285714
2012-03-13,38.8,52.25,42.1,20.2,95.93,94.3,30.64,,12.0,31.8,84.7,24.48571429
2012-03-14,28.43,33.45,21.05,5.88,85.7,73.08,32.8,,17.13,31.7,61.2,19.67714286
2012-03-15,36.83,58.6,41.98,21.35,81.23,71.25,29.76,61.73,24.7,31.5,72.6,25.41428571
2012-03-16,11.98,62.93,55.15,28.83,97.1,111.68,42.24,86.03,39.83,31.4,73.5,31.34714286
2012-03-17,74.75,88.73,91.95,48.73,120.98,125.25,29.84,121.2,59.93,31.4,101.8,36.92714286
2012-03-18,79.95,87.28,96.8,45.83,117.1,112.83,31.78,116.63,43.85,31.4,106.4,38.01285714
2012-03-19,70.08,90.2,82.4,39.38,116.85,114.85,34.69,90.55,34.98,31.3,103.6,33.93428571
2012-03-20,62.73,81.05,70.03,40.18,111.3,122.55,34.62,73.55,38.98,31.2,101.2,29.19285714
2012-03-21,67.93,87.68,85.05,53.45,118.8,121.55,39.23,89.88,37.23,31.2,111.7,30.59
2012-03-22,73.23,89.0,83.68,54.03,121.75,120.05,42.29,92.43,31.95,30.9,104.8,31.5175
2012-03-23,77.43,96.03,83.28,60.98,116.5,122.15,34.19,108.95,48.6,30.7,104.9,34.6325
2012-03-24,80.43,98.45,88.25,57.45,124.53,132.35,33.7,111.15,61.7,30.6,110.2,32.5775
2012-03-25,73.08,100.43,85.3,57.08,120.9,128.68,38.48,99.05,41.8,30.6,119.3,35.7625
2012-03-26,56.47,77.13,70.33,47.85,116.55,117.08,49.98,73.88,52.53,30.6,99.5,32.645
2012-03-27,63.58,85.9,69.18,49.6,114.3,106.6,42.42,83.98,64.25,30.6,109.4,34.23
2012-03-28,60.73,87.05,72.3,51.33,113.23,106.8,47.85,84.55,38.93,30.3,105.6,32.07
2012-03-29,61.75,83.43,64.73,37.98,108.3,109.53,46.94,81.78,20.45,30.3,100.2,38.59625
2012-03-30,56.95,76.58,69.1,41.08,108.48,102.4,41.19,69.33,68.35,30.2,77.8,35.34
2012-03-31,60.9,71.55,65.775,27.375,117.075,,36.38645833,81.925,64.7,30.2,93.5,28.97
2012-04-01,53.35,67.95,60.75,33.525,124.625,,41.9,67.1,40.3,30.2,86.8,33.06625
2012-04-02,67.45,75.925,76.225,40.675,110.2,,33.11041667,94.675,33.575,30.2,96.6,32.775
2012-04-03,76.1,82.775,88.875,35.75,116.8,109.5,30.70729167,108.85,37.225,30.2,96.3,36.0875
2012-04-04,67.075,73.675,71.525,28.05,114.2,106.35,27.24166667,91.525,27.125,29.9,89.0,29.4325
2012-04-05,67.75,64.525,65.85,26.975,99.65,96.975,34.52083333,87.2,9.0,29.9,83.2,27.15125
2012-04-06,43.85,42.725,48.875,16.275,91.875,85.95,34.86041667,59.75,12.15,29.9,83.4,24.78
2012-04-07,73.63,71.65,73.95,33.88,105.35,102.25,46.09,73.98,50.98,29.7,69.9,25.42125
2012-04-08,64.8,83.98,72.9,50.48,98.58,93.75,53.47,80.0,57.73,29.7,109.1,33.81714286
2012-04-09,56.8,76.43,67.95,45.03,94.28,89.68,54.32,73.55,44.18,29.7,107.5,32.97
2012-04-10,76.3,84.98,85.35,54.55,112.23,110.18,53.81,94.0,53.65,29.7,97.5,32.72
2012-04-11,82.35,84.18,85.48,44.13,114.75,107.45,36.61,108.88,47.35,29.2,104.9,31.94857143
2012-04-12,74.5,86.58,81.35,38.6,111.18,105.88,29.59,97.95,35.78,29.1,106.6,32.3
2012-04-13,81.48,88.7,90.08,50.7,118.45,110.4,30.24,100.78,8.08,29.1,106.2,32.48285714
2012-04-14,53.95,65.1,59.05,28.83,103.48,99.05,42.26,73.85,11.55,29.1,79.8,25.59
2012-04-15,46.88,44.68,43.48,15.23,105.45,96.38,32.38,76.85,19.25,29.1,64.3,24.80428571
2012-04-16,64.43,77.3,76.53,39.25,110.18,101.55,50.21,90.33,12.58,29.1,83.2,26.53
2012-04-17,32.4,31.73,34.13,13.0,115.78,98.85,38.76,49.35,12.68,29.0,64.9,23.55857143
2012-04-18,34.35,37.7,34.9,17.15,96.08,55.5,26.06,43.98,23.25,28.8,48.9,23.50285714
2012-04-19,52.98,58.33,56.55,23.78,105.85,99.83,44.86,75.5,31.6,28.8,90.9,34.70875
2012-04-20,64.3,64.38,70.98,26.63,111.1,94.08,49.97,99.88,39.4,28.6,99.8,37.45875
2012-04-21,78.63,97.13,84.2,40.58,110.45,104.18,44.4,99.2,68.85,28.5,101.5,38.98125
2012-04-22,79.65,92.48,89.98,49.98,112.45,109.58,51.56,101.48,46.3,28.5,109.0,37.5825
2012-04-23,64.98,67.83,70.95,32.5,107.18,107.2,48.54,59.95,51.9,28.3,93.8,31.05625
2012-04-24,71.28,63.58,71.35,26.28,103.5,99.25,48.72,90.53,31.18,28.3,94.4,34.8925
2012-04-25,58.98,64.6,74.25,39.88,123.55,106.7,41.95,75.8,38.8,28.3,104.1,34.99
2012-04-26,83.68,98.0,92.5,60.63,115.55,105.88,50.94,114.18,51.68,28.2,92.6,41.57875
2012-04-27,84.3,89.88,94.88,44.03,118.65,120.43,40.46,119.65,70.05,28.2,110.3,42.10625
2012-04-28,94.7,105.93,109.45,61.4,128.03,133.53,42.84,125.53,72.7,28.2,122.4,42.3075
2012-04-29,94.6,109.68,109.63,65.18,129.58,132.85,50.61,124.65,51.7,28.2,122.9,45.51875
2012-04-30,93.28,103.05,110.03,58.15,127.58,124.38,49.94,133.18,64.3,28.0,127.8,45.2125
2012-05-01,95.08,115.58,118.33,74.85,130.88,123.58,45.95,139.9,57.95,28.0,122.0,42.08857143
2012-05-02,99.13,116.28,114.08,63.88,121.83,119.5,44.58,131.25,35.18,27.9,116.4,45.12
2012-05-03,106.9,124.93,117.33,63.25,125.65,124.13,51.1,135.3,50.53,27.9,107.0,43.80714286
2012-05-04,83.65,105.73,95.6,43.5,113.78,120.1,42.56,106.75,63.4,27.9,115.5,37.90142857
2012-05-05,95.45,115.25,106.03,57.83,125.3,128.5,41.19,122.13,68.4,27.8,120.3,40.07285714
2012-05-06,98.18,116.25,112.38,73.74,123.73,128.23,59.27,117.83,39.83,27.5,119.1,39.19714286
2012-05-07,68.4,80.15,77.88,32.23,110.08,119.4,38.5,89.38,35.88,27.5,97.7,31.8975
2012-05-08,74.3,91.2,85.2,46.15,100.38,108.23,44.21,94.35,57.45,27.5,88.9,22.28
2012-05-09,86.73,95.0,93.23,56.28,107.25,111.88,51.25,115.68,58.55,27.5,114.8,43.18125
2012-05-10,92.78,111.3,103.55,66.1,116.55,106.65,38.52,116.85,51.8,27.4,123.6,32.03285714
2012-05-11,90.4,107.4,101.0,60.23,111.13,112.25,40.11,124.1,61.75,27.4,113.1,32.89625
2012-05-12,115.73,134.05,131.03,87.93,114.25,116.38,42.8,138.68,45.3,27.3,123.5,37.17625
2012-05-13,48.78,69.63,60.38,32.53,116.73,117.2,43.15,77.1,27.15,27.3,83.9,27.64714286
2012-05-14,51.28,56.83,54.85,26.53,107.15,76.6,38.82,54.63,13.4,27.3,64.4,20.99142857
2012-05-15,35.35,42.9,41.15,20.9,80.83,41.03,28.69,47.53,15.7,27.0,38.6,16.53571429
2012-05-16,61.33,68.4,57.95,22.53,94.8,78.38,32.77,89.38,16.95,26.9,67.8,28.85125
2012-05-17,56.78,61.58,60.13,31.23,97.38,78.85,48.09,75.7,39.65,26.9,75.9,26.7725
2012-05-18,77.18,93.25,87.55,56.2,96.53,74.75,41.7,103.1,41.7,26.8,99.4,27.99
2012-05-19,81.18,34.03,93.38,59.13,106.98,93.33,32.29,101.75,58.9,26.8,101.1,28.05875
2012-05-20,95.93,3.4,111.83,62.7,100.43,112.38,37.37,124.2,18.93,26.7,115.7,30.2425
2012-05-21,71.1,3.4,80.5,35.88,111.65,110.93,39.51,94.95,26.98,26.7,74.2,28.55875
2012-05-22,69.7,3.4,82.35,43.95,108.15,100.87,53.21,84.0,28.4,26.7,86.9,24.1125
2012-05-23,47.53,40.05,46.9,11.78,101.08,79.8,62.56,57.83,13.63,26.5,66.9,24.17875
2012-05-24,55.95,59.83,53.9,20.88,110.78,71.85,35.23,89.15,19.25,26.4,87.8,28.24875
2012-05-25,46.95,37.48,32.63,13.0,91.5,68.7,29.48,75.45,12.03,26.4,70.8,26.8275
2012-05-26,88.45,98.08,93.43,48.98,90.55,79.33,37.22,93.25,46.75,26.3,98.4,23.33714286
2012-05-27,62.65,68.2,63.8,19.68,91.78,81.68,43.59,99.7,50.58,26.2,100.0,30.54571429
2012-05-28,77.55,85.2,62.6,33.65,115.6,114.5,45.35,101.3,33.03,26.2,111.0,30.38142857
2012-05-29,80.7,81.73,71.48,27.29,121.15,113.4,60.53,95.43,38.8,26.2,96.6,26.7925
2012-05-30,90.75,95.8,80.05,40.75,107.15,115.98,55.99,107.4,37.45,26.1,115.2,29.46142857
2012-05-31,109.7,115.88,112.08,59.23,117.18,121.85,65.4,119.13,32.98,26.0,83.7,31.41714286
2012-06-01,83.63,91.68,76.4,35.53,113.93,119.2,56.91,95.9,34.48,26.0,94.8,28.39142857
2012-06-02,79.4,70.83,74.18,33.43,122.4,111.65,56.05,93.0,57.88,26.0,87.8,25.78857143
2012-06-03,103.3,103.05,103.48,53.88,120.98,117.15,40.29,112.13,60.48,25.9,100.8,29.20428571
2012-06-04,115.58,109.55,107.85,65.68,126.85,122.05,44.45,124.6,46.68,25.9,106.1,30.25285714
2012-06-05,83.3,75.53,73.58,36.4,123.15,115.35,51.32,85.4,43.0,25.8,73.8,25.35142857
2012-06-06,76.03,84.65,75.3,41.73,116.08,100.83,55.55,92.88,42.2,25.7,96.1,27.86375
2012-06-07,108.29,103.2,98.73,54.15,116.53,109.6,51.25,111.13,40.35,25.7,107.2,31.4475
2012-06-08,115.28,104.04,103.68,44.1,110.95,111.1,40.91,103.38,21.6,25.3,102.0,30.46625
2012-06-09,148.5,125.95,110.0,71.4,113.08,111.45,44.57,135.83,31.75,25.3,84.9,30.6775
2012-06-10,96.13,105.33,98.08,53.38,99.13,96.3,47.18,100.33,21.78,25.2,78.6,24.93857143
2012-06-11,83.08,86.2,73.85,41.58,101.98,109.2,52.38,85.63,39.65,25.2,83.4,24.605
2012-06-12,89.68,73.9,78.8,42.48,112.15,111.35,51.78,88.7,25.58,25.0,86.9,26.18
2012-06-13,89.23,91.3,84.18,56.95,104.43,110.85,68.65,100.08,37.35,25.0,95.5,26.225
2012-06-14,102.5,105.08,98.53,61.63,98.98,115.18,80.38,92.2,46.78,24.7,108.4,28.02
2012-06-15,109.43,110.45,102.03,78.53,104.45,119.0,71.27,122.68,70.58,24.7,111.1,33.385
2012-06-16,125.15,113.13,113.68,84.35,116.35,117.03,70.76,122.35,59.95,24.6,125.6,32.36
2012-06-17,114.5,107.45,106.03,76.55,111.15,111.65,65.0,120.73,49.03,24.6,109.9,32.59
2012-06-18,105.83,94.1,95.43,60.4,114.58,112.83,61.82,115.8,42.43,24.4,104.7,29.9075
2012-06-19,106.8,96.4,97.8,63.6,107.43,110.38,57.93,113.88,43.5,24.4,102.0,31.825
2012-06-20,112.13,96.05,99.78,59.53,106.0,109.3,53.23,122.83,43.63,23.9,101.1,30.622
2012-06-21,116.53,101.83,104.75,65.2,121.45,120.7,58.16,142.65,35.9,23.7,113.6,32.63714286
2012-06-22,113.0,120.33,104.13,78.9,121.3,122.53,64.57,107.85,49.6,23.7,124.0,28.51375
2012-06-23,98.68,101.33,94.88,60.08,108.38,125.35,84.06,104.2,68.43,23.7,133.0,33.37571429
2012-06-24,113.25,111.43,106.43,0.0,115.8,112.1,77.35,116.4,44.48,23.6,129.1,34.65
2012-06-25,117.8,111.35,107.8,0.0,122.73,119.18,68.05,130.65,36.93,23.5,107.0,30.79
2012-06-26,93.1,99.9,85.95,0.0,102.3,110.55,72.35,98.33,54.35,23.3,108.6,32.72428571
2012-06-27,103.38,113.38,101.23,0.0,118.53,130.4,89.47,112.9,50.23,23.3,128.0,34.59714286
2012-06-28,139.31,135.74,131.72,0.0,119.08,134.63,81.34,120.98,37.45,23.3,123.6,34.99857143
